accession,comment,created,strain,organism,mol_type,isolation_source,db_xref,country,collection_date,collected_by,gi,length,other_seqids,updated,date,region,host,division,note,serotype,G,P
DQ515961,,23-MAY-2006,DQ515961,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,,,98971584,1062,"{'gb': ['DQ515961.1'], 'gi': ['98971584']}",07-APR-2008,2008-04-07,Asia,,,"genotype: G5; PCR_primers=fwd_name: Beg9, rev_name: End9",G5,G5,None
EF199501,,12-AUG-2007,EF199501,Bovine rotavirus A,genomic RNA,,taxon:35333,India,,,145977251,1062,"{'gb': ['EF199501.1'], 'gi': ['145977251']}",12-AUG-2007,2007-08-12,Asia,,,G6P[11] strain related to a PA169-like G6 lineage,"G6P[11], G6",G6,P11
EF200549,,06-OCT-2007,EF200549,Bovine rotavirus A,genomic RNA,,taxon:35333,India,,,145977411,1062,"{'gb': ['EF200549.1'], 'gi': ['145977411']}",06-OCT-2007,2007-10-06,Asia,,,G3P[3] strain,G3P[3],G3,P3
EU873013,,10-AUG-2008,EU873013,Bovine rotavirus,genomic RNA,calf feces,taxon:10927,South Korea,,,195661003,1062,"{'gb': ['EU873013.1'], 'gi': ['195661003']}",10-AUG-2008,2008-08-10,Asia,,,,,,
EU873014,,10-AUG-2008,EU873014,Bovine rotavirus,genomic RNA,calf feces,taxon:10927,South Korea,,,195661005,1062,"{'gb': ['EU873014.1'], 'gi': ['195661005']}",10-AUG-2008,2008-08-10,Asia,,,,,,
EU873015,,10-AUG-2008,EU873015,Bovine rotavirus,genomic RNA,calf feces,taxon:10927,South Korea,,,195661007,1062,"{'gb': ['EU873015.1'], 'gi': ['195661007']}",10-AUG-2008,2008-08-10,Asia,,,,,,
AB454421,,22-AUG-2008,AB454421,Bovine rotavirus A,genomic RNA,feces,taxon:35333,Japan,Dec-2006,,197209714,1062,"{'dbj': ['AB454421.1'], 'gi': ['197209714']}",12-SEP-2009,2009-09-12,Asia,,Gifu,type specimen for genotype G21 as assigned by the RCWG.,G21,G21,None
FJ217204,,19-OCT-2008,FJ217204,Bovine rotavirus,genomic DNA,,taxon:10927,Mexico,01-Apr-2006,,209418841,1062,"{'gb': ['FJ217204.1'], 'gi': ['209418841']}",27-OCT-2009,2009-10-27,North America,bovine,,genotype: G10 P[11],G10,G10,None
FJ217205,,19-OCT-2008,FJ217205,Bovine rotavirus,genomic DNA,,taxon:10927,Mexico,01-Mar-2006,,209418843,1062,"{'gb': ['FJ217205.1'], 'gi': ['209418843']}",27-OCT-2009,2009-10-27,North America,bovine,,genotype: G6 P[5],G6,G6,None
GQ433985,,23-FEB-2010,GQ433985,Bovine rotavirus A,genomic RNA,,taxon:35333,Ireland,,,289064158,1062,"{'gb': ['GQ433985.1'], 'gi': ['289064158']}",08-JUL-2014,2014-07-08,Europe,bovine,,,,,
GU984760,,13-OCT-2010,GU984760,Bovine rotavirus A,genomic RNA,stool sample,taxon:35333,India,Dec-2007,,308229558,1062,"{'gb': ['GU984760.1'], 'gi': ['308229558']}",08-MAR-2011,2011-03-08,Asia,cattle,,genotype: G8P[14],G8P[14],G8,P14
GU984761,,13-OCT-2010,GU984761,Bovine rotavirus A,genomic RNA,stool sample,taxon:35333,India,Dec-2007,,308229560,1062,"{'gb': ['GU984761.1'], 'gi': ['308229560']}",08-MAR-2011,2011-03-08,Asia,cattle,,genotype: G8P[14],G8P[14],G8,P14
GU984762,,13-OCT-2010,GU984762,Bovine rotavirus A,genomic RNA,stool sample,taxon:35333,India,Dec-2007,,308229562,1062,"{'gb': ['GU984762.1'], 'gi': ['308229562']}",08-MAR-2011,2011-03-08,Asia,cattle,,genotype: G8P[14],G8P[14],G8,P14
HQ199897,,12-APR-2012,HQ199897,Bovine rotavirus,genomic RNA,,taxon:10927,India,2009,,327553829,1062,"{'gb': ['HQ199897.1'], 'gi': ['327553829']}",01-NOV-2012,2012-11-01,Asia,bovine,,group: A; genotype: G3,G3,G3,None
HQ440224,,20-AUG-2013,HQ440224,Rotavirus cow/B85/MP/India/2008,genomic RNA,,taxon:1074901,India,2008,,343484202,1062,"{'gb': ['HQ440224.1'], 'gi': ['343484202']}",20-AUG-2013,2013-08-20,Asia,bovine,,genotype: G3,G3,G3,None
JN831214,,31-JAN-2012,JN831214,Rotavirus A,genomic RNA,fecal sample,taxon:28875,South Africa,2007,,355000514,1062,"{'gb': ['JN831214.1'], 'gi': ['355000514']}",13-AUG-2012,2012-08-13,Africa,bovine,,genotype: G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G6,P5
JN831225,,31-JAN-2012,JN831225,Rotavirus A,genomic RNA,,taxon:28875,South Africa,2007,,355000536,1062,"{'gb': ['JN831225.1'], 'gi': ['355000536']}",13-AUG-2012,2012-08-13,Africa,bovine,,genotype: G8-P[1]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G8-P[1]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G8,P1
JN831236,,31-JAN-2012,JN831236,Rotavirus A,genomic RNA,,taxon:28875,South Africa,2007,,355000558,1062,"{'gb': ['JN831236.1'], 'gi': ['355000558']}",13-AUG-2012,2012-08-13,Africa,bovine,,genotype: G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G6-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G6,P5
JF689835,,30-APR-2012,JF689835,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2010,,376341550,1062,"{'gb': ['JF689835.1'], 'gi': ['376341550']}",30-APR-2012,2012-04-30,Asia,bovine,,serogroup: A,,,
JF689843,,30-APR-2012,JF689843,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2009,,376341566,1062,"{'gb': ['JF689843.1'], 'gi': ['376341566']}",30-APR-2012,2012-04-30,Asia,bovine,,serogroup: A; genotype: G3,G3,G3,None
JF689844,,30-APR-2012,JF689844,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2009,,376341568,1062,"{'gb': ['JF689844.1'], 'gi': ['376341568']}",30-APR-2012,2012-04-30,Asia,bovine,,serogroup: A; genotype: G3,G3,G3,None
JF689845,,30-APR-2012,JF689845,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2009,,376341570,1062,"{'gb': ['JF689845.1'], 'gi': ['376341570']}",30-APR-2012,2012-04-30,Asia,bovine,,serogroup: A; genotype: G3,G3,G3,None
JF720882,,30-APR-2012,JF720882,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2010,,380042734,1062,"{'gb': ['JF720882.1'], 'gi': ['380042734']}",30-APR-2012,2012-04-30,Asia,bovine,,genotype: G3,G3,G3,None
JF742652,,30-APR-2012,JF742652,Bovine rotavirus A,genomic RNA,feces,taxon:35333,India,2009,,380042752,1062,"{'gb': ['JF742652.1'], 'gi': ['380042752']}",30-APR-2012,2012-04-30,Asia,bovine,,genotype: G3,G3,G3,None
JX498955,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498955,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183938,1062,"{'gb': ['JX498955.1'], 'gi': ['409183938']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G4,G4,G4,None
JX498958,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498958,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183944,1062,"{'gb': ['JX498958.1'], 'gi': ['409183944']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G4,G4,G4,None
JX498960,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498960,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183948,1062,"{'gb': ['JX498960.1'], 'gi': ['409183948']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G5,G5,G5,None
JX498961,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498961,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183950,1062,"{'gb': ['JX498961.1'], 'gi': ['409183950']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G5,G5,G5,None
JX498962,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498962,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183952,1062,"{'gb': ['JX498962.1'], 'gi': ['409183952']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G5,G5,G5,None
JX498964,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498964,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183956,1062,"{'gb': ['JX498964.1'], 'gi': ['409183956']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G11,G11,G11,None
JX498966,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498966,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183960,1062,"{'gb': ['JX498966.1'], 'gi': ['409183960']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G11,G11,G11,None
JX498967,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498967,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183962,1062,"{'gb': ['JX498967.1'], 'gi': ['409183962']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G3,G3,G3,None
JX498968,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498968,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183964,1062,"{'gb': ['JX498968.1'], 'gi': ['409183964']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G3,G3,G3,None
JX498969,Assembly Method :: DNAStar v. 7.0 ; Sequencing Technology :: Sanger dideoxy sequencing,23-OCT-2012,JX498969,Porcine rotavirus A,genomic RNA,feces,taxon:10967,China,2011,,409183966,1062,"{'gb': ['JX498969.1'], 'gi': ['409183966']}",23-OCT-2012,2012-10-23,Asia,piglet,,genotype: G2,G2,G2,None
JX971574,Assembly Method :: DNAman v. 5.2.2. ; Sequencing Technology :: Sanger dideoxy sequencing,27-JAN-2013,JX971574,Bovine rotavirus,genomic RNA,,taxon:10927,South Korea,2004,,443302080,1062,"{'gb': ['JX971574.1'], 'gi': ['443302080']}",27-JAN-2013,2013-01-27,Asia,bovine,,genotype: G5,G5,G5,None
AB779619,,29-JAN-2013,AB779619,Porcine rotavirus A,genomic RNA,,taxon:10967,Thailand,2008-05,,444177777,1062,"{'dbj': ['AB779619.1'], 'gi': ['444177777']}",11-JUL-2014,2014-07-11,Asia,Sus scrofa domesticus,,genotype: G3-P[13]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G3-P[13]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G3,P13
AB741654,,12-MAR-2013,AB741654,Human rotavirus A,genomic RNA,stool,taxon:10941,Japan,Nov-2011,,459978551,1062,"{'dbj': ['AB741654.1'], 'gi': ['459978551']}",25-JUN-2013,2013-06-25,Asia,Homo sapiens,Okinawa,genotype: G5-P[6]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G5-P[6]-I5-R1-C1-M1-A8-N1-T1-E1-H1,G5,P6
KF041440,,17-SEP-2013,KF041440,Human rotavirus A,genomic RNA,feces of a child with acute diarrhea,taxon:10941,China,20-Jan-2010,,542718262,1062,"{'gb': ['KF041440.1'], 'gi': ['542718262']}",09-JUL-2014,2014-07-09,Asia,Homo sapiens,Guangxi Province,"G4;
genotype: G4P[6]","G4, G4P[6]",G4,None
KF447866,,18-SEP-2013,KF447866,Human rotavirus A,genomic RNA,feces,taxon:10941,China,05-Mar-2010,,543201349,1062,"{'gb': ['KF447866.1'], 'gi': ['543201349']}",09-JUL-2014,2014-07-09,Asia,Homo sapiens,Guangxi Province,"human-porcine reassortant;
genotype: G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1",G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G4,P6
KF447855,,18-SEP-2013,KF447855,Human rotavirus A,genomic RNA,feces,taxon:10941,China,01-Mar-2010,,543201371,1062,"{'gb': ['KF447855.1'], 'gi': ['543201371']}",09-JUL-2014,2014-07-09,Asia,Homo sapiens,Guangxi Province,"human-porcine reassortant;
genotype: G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1",G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G4,P6
KF447844,,18-SEP-2013,KF447844,Human rotavirus A,genomic RNA,feces,taxon:10941,China,01-Mar-2010,,543201393,1062,"{'gb': ['KF447844.1'], 'gi': ['543201393']}",09-JUL-2014,2014-07-09,Asia,Homo sapiens,Guangxi Province,"human-porcine reassortant;
genotype: G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1",G4-P[6]-I1-R1-C1-M1-A8-N1-T1-E1-H1,G4,P6
KF170899,Sequencing Technology :: Sanger dideoxy sequencing,23-SEP-2013,KF170899,Bovine rotavirus A,genomic RNA,,taxon:35333,India,10-Jan-2012,,544196639,1062,"{'gb': ['KF170899.1'], 'gi': ['544196639']}",23-SEP-2013,2013-09-23,Asia,bovine,,genotype: G6,G6,G6,None
KF170900,Sequencing Technology :: Sanger dideoxy sequencing,23-SEP-2013,KF170900,Porcine rotavirus A,genomic RNA,,taxon:10967,India,02-Jan-2012,,544196641,1062,"{'gb': ['KF170900.1'], 'gi': ['544196641']}",23-SEP-2013,2013-09-23,Asia,porcine,,genotype: G10,G10,G10,None
KF500179,Sequencing Technology :: Sanger dideoxy sequencing,15-JAN-2014,KF500179,Bovine rotavirus,genomic RNA,,taxon:10927,South Korea,2004,,573026092,1062,"{'gb': ['KF500179.1'], 'gi': ['573026092']}",24-JUL-2014,2014-07-24,Asia,bovine,,genotype: G8,G8,G8,None
AB861950,,03-MAY-2014,AB861950,Human rotavirus A,genomic RNA,rectal swab,taxon:10941,Kenya,2010-03,,629510058,1062,"{'dbj': ['AB861950.1'], 'gi': ['629510058']}",01-OCT-2014,2014-10-01,Africa,Homo sapiens,Kiambu,genotype: G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12,P6
AB861961,,03-MAY-2014,AB861961,Human rotavirus A,genomic RNA,rectal swab,taxon:10941,Kenya,2010-03,,629510080,1062,"{'dbj': ['AB861961.1'], 'gi': ['629510080']}",01-OCT-2014,2014-10-01,Africa,Homo sapiens,Kiambu,genotype: G12-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12-P[8]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12,P8
AB861972,,03-MAY-2014,AB861972,Human rotavirus A,genomic RNA,rectal swab,taxon:10941,Kenya,2010-04,,629510102,1062,"{'dbj': ['AB861972.1'], 'gi': ['629510102']}",01-OCT-2014,2014-10-01,Africa,Homo sapiens,Kiambu,genotype: G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12-P[6]-I1-R1-C1-M1-A1-N1-T1-E1-H1,G12,P6
AB972861,,13-AUG-2014,AB972861,Porcine rotavirus A,genomic RNA,stool,taxon:10967,Thailand,1991,,672889688,1062,"{'dbj': ['AB972861.1'], 'gi': ['672889688']}",06-JAN-2015,2015-01-06,Asia,Sus scrofa domesticus,,genotypes: G10-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G10-P[5]-I2-R2-C2-M2-A3-N2-T6-E2-H3,G10,P5
HG513053,,02-SEP-2014,HG513053,Human rotavirus A,genomic RNA,stool specimen collected from a child with gastroenteritis,taxon:10941,Viet Nam,30-Dec-2009,,675817083,1062,"{'emb': ['HG513053.1'], 'gi': ['675817083']}",02-SEP-2014,2014-09-02,Asia,Homo sapiens,,,,,
LC119098,,27-APR-2016,LC119098,Human rotavirus A,genomic RNA,stool,taxon:10941,Nigeria,1999,,1023300445,1062,"{'dbj': ['LC119098.1'], 'gi': ['1023300445']}",24-JUN-2016,2016-06-24,Africa,Homo sapiens,,genotypes: G8-P[1]-I2-R2-C2-M2-A11-N2-T6-E2-H3,G8-P[1]-I2-R2-C2-M2-A11-N2-T6-E2-H3,G8,P1
KX362705,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362705,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,22-Nov-2013,,1040789255,1062,"{'gb': ['KX362705.1'], 'gi': ['1040789255']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
KX362727,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362727,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,12-Dec-2013,,1040789259,1062,"{'gb': ['KX362727.1'], 'gi': ['1040789259']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G2,G2,G2,None
KX362782,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362782,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,13-Jan-2014,,1040789269,1062,"{'gb': ['KX362782.1'], 'gi': ['1040789269']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G2,G2,G2,None
KX362837,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362837,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,31-Oct-2012,,1040789279,1062,"{'gb': ['KX362837.1'], 'gi': ['1040789279']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G2,G2,G2,None
KX362880,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX362880,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,21-Nov-2012,,1040789287,1062,"{'gb': ['KX362880.1'], 'gi': ['1040789287']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
KX363033,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363033,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,26-Nov-2012,,1040789315,1062,"{'gb': ['KX363033.1'], 'gi': ['1040789315']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
KX363066,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363066,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,28-Nov-2012,,1040789321,1062,"{'gb': ['KX363066.1'], 'gi': ['1040789321']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
KX363239,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363239,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,26-Feb-2013,,1040789353,1062,"{'gb': ['KX363239.1'], 'gi': ['1040789353']}",02-JUL-2016,2016-07-02,Asia,Homo sapiens,,genotype: G1,G1,G1,None
KX363404,Assembly Method :: SPAdes v. 3.5 ; Sequencing Technology :: Illumina,02-JUL-2016,KX363404,Rotavirus A,genomic RNA,,taxon:28875,Viet Nam,06-Mar-2012,,1040789385,1062,"{'gb': ['KX363404.1'], 'gi': ['1040789385']}",02-JUL-2016,2016-07-02,Asia,Sus scrofa domesticus,,genotype: G4,G4,G4,None
LC133530,,29-JUL-2016,LC133530,Rotavirus A RVA/Cow-tc/THA/A5-13/1988/G8P[1],genomic RNA,stool,taxon:1835660,Thailand,1988,,1048819104,1062,"{'dbj': ['LC133530.1'], 'gi': ['1048819104']}",22-OCT-2016,2016-10-22,Asia,Bos taurus,,genotypes: G8-P[1]-I2-R2-C2-M2-A14-N2-T6-E2-H3,G8-P[1]-I2-R2-C2-M2-A14-N2-T6-E2-H3,G8,P1
LC169846,,13-SEP-2016,LC169846,Rotavirus A RVA/Human-wt/THA/KKL-17/2013/G8P[8],genomic RNA,stool,taxon:1882325,Thailand,2013,,1063758819,1062,"{'dbj': ['LC169846.1'], 'gi': ['1063758819']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169857,,13-SEP-2016,LC169857,Rotavirus A RVA/Human-wt/THA/PCB-79/2013/G8P[8],genomic RNA,stool,taxon:1882326,Thailand,2013,,1063758841,1062,"{'dbj': ['LC169857.1'], 'gi': ['1063758841']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
LC169868,,13-SEP-2016,LC169868,Rotavirus A RVA/Human-wt/THA/PCB-84/2013/G8P[8],genomic RNA,stool,taxon:1882327,Thailand,2013,,1063758863,1062,"{'dbj': ['LC169868.1'], 'gi': ['1063758863']}",05-NOV-2016,2016-11-05,Asia,Homo sapiens,,genotypes: G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8-P[8]-I2-R2-C2-M2-A2-N2-T2-E2-H2,G8,P8
